Iteration: 22000, Loss: 247.2828369140625, Base Loss: 247.28204345703125, Regularisation Term: 0.0007948827696964145, Hessian Trace: -2.819366455078125
Iteration: 22000, Loss: 245.4721221923828, Base Loss: 245.47119140625, Regularisation Term: 0.0009352959459647536, Hessian Trace: -3.058260917663574
Iteration: 23000, Loss: 244.30218505859375, Base Loss: 244.3008575439453, Regularisation Term: 0.0013277871767058969, Hessian Trace: -3.643881320953369
Iteration: 23000, Loss: 239.59170532226562, Base Loss: 239.59027099609375, Regularisation Term: 0.0014365680981427431, Hessian Trace: -3.7902088165283203
Iteration: 24000, Loss: 250.7270965576172, Base Loss: 250.72613525390625, Regularisation Term: 0.0009572135168127716, Hessian Trace: -3.093886613845825
Iteration: 24000, Loss: 245.1372528076172, Base Loss: 245.1362762451172, Regularisation Term: 0.000982795492745936, Hessian Trace: -3.1349570751190186
Iteration: 25000, Loss: 238.65794372558594, Base Loss: 238.65704345703125, Regularisation Term: 0.0009039902361109853, Hessian Trace: -3.006643056869507
Iteration: 25000, Loss: 237.95614624023438, Base Loss: 237.9552001953125, Regularisation Term: 0.000942331156693399, Hessian Trace: -3.0697414875030518
Iteration: 26000, Loss: 246.97576904296875, Base Loss: 246.9750213623047, Regularisation Term: 0.0007405106443911791, Hessian Trace: -2.7212324142456055
Iteration: 26000, Loss: 245.6186065673828, Base Loss: 245.61744689941406, Regularisation Term: 0.0011559440754354, Hessian Trace: -3.3999178409576416
Iteration: 27000, Loss: 253.90805053710938, Base Loss: 253.90719604492188, Regularisation Term: 0.0008515195222571492, Hessian Trace: -2.9180808067321777
Iteration: 27000, Loss: 243.95022583007812, Base Loss: 243.94969177246094, Regularisation Term: 0.0005312078283168375, Hessian Trace: -2.3047947883605957
Iteration: 28000, Loss: 245.03201293945312, Base Loss: 245.03085327148438, Regularisation Term: 0.0011664815247058868, Hessian Trace: -3.415379047393799
Iteration: 28000, Loss: 246.03695678710938, Base Loss: 246.03622436523438, Regularisation Term: 0.000731840031221509, Hessian Trace: -2.705254316329956
Iteration: 29000, Loss: 239.2658233642578, Base Loss: 239.2649383544922, Regularisation Term: 0.0008835234912112355, Hessian Trace: -2.972412109375
Iteration: 29000, Loss: 246.95057678222656, Base Loss: 246.94944763183594, Regularisation Term: 0.0011275428114458919, Hessian Trace: -3.3578903675079346
Iteration: 30000, Loss: 246.33163452148438, Base Loss: 246.33082580566406, Regularisation Term: 0.0008011753670871258, Hessian Trace: -2.8305041790008545
Iteration: 30000, Loss: 244.14581298828125, Base Loss: 244.1450958251953, Regularisation Term: 0.0007232690695673227, Hessian Trace: -2.689366340637207
Iteration: 31000, Loss: 243.64051818847656, Base Loss: 243.63998413085938, Regularisation Term: 0.0005403392133302987, Hessian Trace: -2.3245198726654053
Iteration: 31000, Loss: 240.9147186279297, Base Loss: 240.91397094726562, Regularisation Term: 0.0007484969682991505, Hessian Trace: -2.735867500305176
Iteration: 32000, Loss: 241.8005828857422, Base Loss: 241.79954528808594, Regularisation Term: 0.0010351985692977905, Hessian Trace: -3.2174501419067383
Iteration: 32000, Loss: 247.14158630371094, Base Loss: 247.14059448242188, Regularisation Term: 0.0009879403514787555, Hessian Trace: -3.1431519985198975
Iteration: 33000, Loss: 242.08282470703125, Base Loss: 242.08203125, Regularisation Term: 0.0007947433623485267, Hessian Trace: -2.8191192150115967
Iteration: 33000, Loss: 241.20619201660156, Base Loss: 241.20513916015625, Regularisation Term: 0.001052242238074541, Hessian Trace: -3.243828535079956
Iteration: 34000, Loss: 247.35171508789062, Base Loss: 247.3504638671875, Regularisation Term: 0.001249683671630919, Hessian Trace: -3.5350863933563232
Iteration: 34000, Loss: 240.11163330078125, Base Loss: 240.11000061035156, Regularisation Term: 0.0016351843951269984, Hessian Trace: -4.043741703033447
Iteration: 35000, Loss: 239.68846130371094, Base Loss: 239.68775939941406, Regularisation Term: 0.0006991219124756753, Hessian Trace: -2.6440913677215576
Iteration: 35000, Loss: 246.22267150878906, Base Loss: 246.22164916992188, Regularisation Term: 0.0010257585672661662, Hessian Trace: -3.202746629714966
Iteration: 36000, Loss: 243.95948791503906, Base Loss: 243.9586181640625, Regularisation Term: 0.0008690250106155872, Hessian Trace: -2.947922945022583
Iteration: 36000, Loss: 247.4119415283203, Base Loss: 247.41122436523438, Regularisation Term: 0.0007195502985268831, Hessian Trace: -2.682443618774414
Iteration: 37000, Loss: 242.49624633789062, Base Loss: 242.49525451660156, Regularisation Term: 0.0009956266731023788, Hessian Trace: -3.155355215072632
Iteration: 37000, Loss: 243.1915283203125, Base Loss: 243.19053649902344, Regularisation Term: 0.0009965874487534165, Hessian Trace: -3.1568775177001953
Iteration: 38000, Loss: 244.7850341796875, Base Loss: 244.7843780517578, Regularisation Term: 0.0006617471808567643, Hessian Trace: -2.5724446773529053
Iteration: 38000, Loss: 245.97103881835938, Base Loss: 245.97039794921875, Regularisation Term: 0.0006390171474777162, Hessian Trace: -2.527878999710083
