Iteration: 0, Loss: 304.2379455566406, Base Loss: 304.3805236816406, Regularisation Term: -0.14257872104644775, Hessian Trace: -142.57872009277344
Iteration: 1000, Loss: 159.82763671875, Base Loss: 159.8931427001953, Regularisation Term: -0.06550999730825424, Hessian Trace: -65.50999450683594
Iteration: 1000, Loss: 165.92465209960938, Base Loss: 165.99114990234375, Regularisation Term: -0.06649374961853027, Hessian Trace: -66.49374389648438
Iteration: 2000, Loss: 167.00926208496094, Base Loss: 167.36744689941406, Regularisation Term: -0.3581835925579071, Hessian Trace: -358.1835632324219
Iteration: 2000, Loss: 165.01795959472656, Base Loss: 165.36585998535156, Regularisation Term: -0.34790125489234924, Hessian Trace: -347.9012145996094
Iteration: 3000, Loss: 161.2130889892578, Base Loss: 161.7617950439453, Regularisation Term: -0.5487108826637268, Hessian Trace: -548.7108764648438
Iteration: 3000, Loss: 164.5375518798828, Base Loss: 165.09512329101562, Regularisation Term: -0.557576060295105, Hessian Trace: -557.5759887695312
Iteration: 4000, Loss: 158.76953125, Base Loss: 159.47640991210938, Regularisation Term: -0.7068856358528137, Hessian Trace: -706.8856201171875
Iteration: 4000, Loss: 164.8662109375, Base Loss: 165.67526245117188, Regularisation Term: -0.8090587258338928, Hessian Trace: -809.0587158203125
Iteration: 5000, Loss: 166.4385223388672, Base Loss: 167.06057739257812, Regularisation Term: -0.6220611333847046, Hessian Trace: -622.0611572265625
Iteration: 5000, Loss: 165.25938415527344, Base Loss: 165.84413146972656, Regularisation Term: -0.584747314453125, Hessian Trace: -584.7472534179688
Iteration: 6000, Loss: 169.22201538085938, Base Loss: 170.31341552734375, Regularisation Term: -1.0913997888565063, Hessian Trace: -1091.399658203125
Iteration: 6000, Loss: 163.6758270263672, Base Loss: 164.6846923828125, Regularisation Term: -1.0088714361190796, Hessian Trace: -1008.871337890625
Iteration: 7000, Loss: 167.43081665039062, Base Loss: 168.91818237304688, Regularisation Term: -1.4873720407485962, Hessian Trace: -1487.3719482421875
Iteration: 7000, Loss: 162.8754425048828, Base Loss: 164.3487548828125, Regularisation Term: -1.4733126163482666, Hessian Trace: -1473.3126220703125
Iteration: 8000, Loss: 167.83673095703125, Base Loss: 168.9405975341797, Regularisation Term: -1.1038737297058105, Hessian Trace: -1103.8736572265625
Iteration: 8000, Loss: 163.87686157226562, Base Loss: 165.0912628173828, Regularisation Term: -1.214401125907898, Hessian Trace: -1214.4010009765625
Iteration: 9000, Loss: 162.1237030029297, Base Loss: 163.9637908935547, Regularisation Term: -1.8400832414627075, Hessian Trace: -1840.0831298828125
Iteration: 9000, Loss: 161.7740478515625, Base Loss: 163.44346618652344, Regularisation Term: -1.6694188117980957, Hessian Trace: -1669.418701171875
Iteration: 10000, Loss: 161.40020751953125, Base Loss: 162.94967651367188, Regularisation Term: -1.5494617223739624, Hessian Trace: -1549.461669921875
Iteration: 10000, Loss: 162.33753967285156, Base Loss: 163.7110137939453, Regularisation Term: -1.3734670877456665, Hessian Trace: -1373.467041015625
Iteration: 11000, Loss: 156.6819610595703, Base Loss: 159.75338745117188, Regularisation Term: -3.071432590484619, Hessian Trace: -3071.4326171875
Iteration: 11000, Loss: 160.2971649169922, Base Loss: 163.26553344726562, Regularisation Term: -2.9683644771575928, Hessian Trace: -2968.364501953125
Iteration: 12000, Loss: 165.28387451171875, Base Loss: 168.24981689453125, Regularisation Term: -2.9659457206726074, Hessian Trace: -2965.94580078125
Iteration: 12000, Loss: 162.18418884277344, Base Loss: 164.83921813964844, Regularisation Term: -2.6550254821777344, Hessian Trace: -2655.025390625
Iteration: 13000, Loss: 164.99769592285156, Base Loss: 165.01438903808594, Regularisation Term: -0.01669684424996376, Hessian Trace: -16.69684410095215
Iteration: 13000, Loss: 165.2053680419922, Base Loss: 165.22242736816406, Regularisation Term: -0.017058001831173897, Hessian Trace: -17.058002471923828
Iteration: 14000, Loss: 160.73617553710938, Base Loss: 160.76669311523438, Regularisation Term: -0.03051394410431385, Hessian Trace: -30.513944625854492
Iteration: 14000, Loss: 163.05979919433594, Base Loss: 163.0863037109375, Regularisation Term: -0.026511404663324356, Hessian Trace: -26.511404037475586
Iteration: 15000, Loss: 159.6811065673828, Base Loss: 163.78013610839844, Regularisation Term: -4.099035739898682, Hessian Trace: -4099.03515625
Iteration: 15000, Loss: 159.08705139160156, Base Loss: 163.3493194580078, Regularisation Term: -4.262264728546143, Hessian Trace: -4262.26416015625
Iteration: 16000, Loss: 156.8424072265625, Base Loss: 158.988037109375, Regularisation Term: -2.1456291675567627, Hessian Trace: -2145.629150390625
Iteration: 16000, Loss: 160.6138916015625, Base Loss: 162.79063415527344, Regularisation Term: -2.1767420768737793, Hessian Trace: -2176.741943359375
Iteration: 17000, Loss: 161.30020141601562, Base Loss: 165.73300170898438, Regularisation Term: -4.432793617248535, Hessian Trace: -4432.79345703125
Iteration: 17000, Loss: 160.8385772705078, Base Loss: 164.1905517578125, Regularisation Term: -3.3519694805145264, Hessian Trace: -3351.96923828125
Iteration: 18000, Loss: 159.63954162597656, Base Loss: 164.37744140625, Regularisation Term: -4.737903594970703, Hessian Trace: -4737.9033203125
Iteration: 18000, Loss: 158.08055114746094, Base Loss: 163.23072814941406, Regularisation Term: -5.150177478790283, Hessian Trace: -5150.17724609375
Iteration: 19000, Loss: 157.64788818359375, Base Loss: 161.29388427734375, Regularisation Term: -3.6459944248199463, Hessian Trace: -3645.994140625
Iteration: 19000, Loss: 161.0201416015625, Base Loss: 164.50074768066406, Regularisation Term: -3.4806036949157715, Hessian Trace: -3480.603515625
Iteration: 20000, Loss: 154.1445770263672, Base Loss: 160.24069213867188, Regularisation Term: -6.096121788024902, Hessian Trace: -6096.12158203125
Iteration: 20000, Loss: 158.59765625, Base Loss: 164.13108825683594, Regularisation Term: -5.53343391418457, Hessian Trace: -5533.43359375
Iteration: 21000, Loss: 161.74176025390625, Base Loss: 164.96347045898438, Regularisation Term: -3.221708059310913, Hessian Trace: -3221.7080078125
Iteration: 21000, Loss: 160.72247314453125, Base Loss: 163.6027374267578, Regularisation Term: -2.880262613296509, Hessian Trace: -2880.262451171875
Iteration: 22000, Loss: 159.44979858398438, Base Loss: 162.61830139160156, Regularisation Term: -3.1684961318969727, Hessian Trace: -3168.495849609375
Iteration: 22000, Loss: 159.71385192871094, Base Loss: 162.7809295654297, Regularisation Term: -3.0670766830444336, Hessian Trace: -3067.076416015625
Iteration: 23000, Loss: 163.67381286621094, Base Loss: 166.7118682861328, Regularisation Term: -3.0380520820617676, Hessian Trace: -3038.052001953125
Iteration: 23000, Loss: 161.12049865722656, Base Loss: 164.0318603515625, Regularisation Term: -2.911365270614624, Hessian Trace: -2911.364990234375
Iteration: 24000, Loss: 170.53118896484375, Base Loss: 174.7823486328125, Regularisation Term: -4.251157283782959, Hessian Trace: -4251.1572265625
Iteration: 24000, Loss: 162.8157196044922, Base Loss: 167.23330688476562, Regularisation Term: -4.417581081390381, Hessian Trace: -4417.5810546875
Iteration: 25000, Loss: 161.06336975097656, Base Loss: 161.08291625976562, Regularisation Term: -0.019553545862436295, Hessian Trace: -19.553544998168945
Iteration: 25000, Loss: 163.2440948486328, Base Loss: 163.26390075683594, Regularisation Term: -0.019802572205662727, Hessian Trace: -19.802570343017578
Iteration: 26000, Loss: 163.85372924804688, Base Loss: 163.88409423828125, Regularisation Term: -0.030369795858860016, Hessian Trace: -30.369794845581055
Iteration: 26000, Loss: 162.092041015625, Base Loss: 162.1223907470703, Regularisation Term: -0.030354974791407585, Hessian Trace: -30.35497283935547
Iteration: 27000, Loss: 163.14694213867188, Base Loss: 166.72970581054688, Regularisation Term: -3.582763195037842, Hessian Trace: -3582.76318359375
Iteration: 27000, Loss: 159.61294555664062, Base Loss: 162.87501525878906, Regularisation Term: -3.2620768547058105, Hessian Trace: -3262.07666015625
Iteration: 28000, Loss: 167.3507843017578, Base Loss: 168.5366668701172, Regularisation Term: -1.1858867406845093, Hessian Trace: -1185.88671875
Iteration: 28000, Loss: 162.22935485839844, Base Loss: 163.74905395507812, Regularisation Term: -1.519697666168213, Hessian Trace: -1519.6976318359375
Iteration: 29000, Loss: 158.8765106201172, Base Loss: 166.55056762695312, Regularisation Term: -7.674053192138672, Hessian Trace: -7674.05322265625
Iteration: 29000, Loss: 155.25799560546875, Base Loss: 163.1366424560547, Regularisation Term: -7.8786396980285645, Hessian Trace: -7878.63916015625
Iteration: 30000, Loss: 168.59901428222656, Base Loss: 168.60977172851562, Regularisation Term: -0.010765062645077705, Hessian Trace: -10.76506233215332
Iteration: 30000, Loss: 163.2726593017578, Base Loss: 163.2831268310547, Regularisation Term: -0.010471872985363007, Hessian Trace: -10.471872329711914
Iteration: 31000, Loss: 157.10301208496094, Base Loss: 164.6981964111328, Regularisation Term: -7.595177173614502, Hessian Trace: -7595.17724609375
Iteration: 31000, Loss: 155.02008056640625, Base Loss: 163.82122802734375, Regularisation Term: -8.8011474609375, Hessian Trace: -8801.1474609375
Iteration: 32000, Loss: 159.50210571289062, Base Loss: 163.76785278320312, Regularisation Term: -4.265746593475342, Hessian Trace: -4265.74609375
Iteration: 32000, Loss: 158.13096618652344, Base Loss: 162.8247833251953, Regularisation Term: -4.693816184997559, Hessian Trace: -4693.81591796875
Iteration: 33000, Loss: 158.78089904785156, Base Loss: 163.34600830078125, Regularisation Term: -4.565106391906738, Hessian Trace: -4565.1064453125
Iteration: 33000, Loss: 158.0841827392578, Base Loss: 163.08409118652344, Regularisation Term: -4.999914169311523, Hessian Trace: -4999.9140625
Iteration: 34000, Loss: 163.10812377929688, Base Loss: 171.45559692382812, Regularisation Term: -8.347474098205566, Hessian Trace: -8347.474609375
Iteration: 34000, Loss: 156.14317321777344, Base Loss: 165.47645568847656, Regularisation Term: -9.333277702331543, Hessian Trace: -9333.2763671875
Iteration: 35000, Loss: 149.731201171875, Base Loss: 161.03753662109375, Regularisation Term: -11.306341171264648, Hessian Trace: -11306.3408203125
Iteration: 35000, Loss: 156.87387084960938, Base Loss: 165.47088623046875, Regularisation Term: -8.597010612487793, Hessian Trace: -8597.009765625
Iteration: 36000, Loss: 151.96795654296875, Base Loss: 162.14527893066406, Regularisation Term: -10.177328109741211, Hessian Trace: -10177.328125
Iteration: 36000, Loss: 154.42503356933594, Base Loss: 164.6416015625, Regularisation Term: -10.216562271118164, Hessian Trace: -10216.5615234375
Iteration: 37000, Loss: 158.15371704101562, Base Loss: 165.29498291015625, Regularisation Term: -7.141271114349365, Hessian Trace: -7141.27099609375
Iteration: 37000, Loss: 170.93223571777344, Base Loss: 178.4068603515625, Regularisation Term: -7.474623680114746, Hessian Trace: -7474.62353515625
Iteration: 38000, Loss: 161.28704833984375, Base Loss: 165.1785125732422, Regularisation Term: -3.8914635181427, Hessian Trace: -3891.46337890625
Iteration: 38000, Loss: 159.86631774902344, Base Loss: 163.83750915527344, Regularisation Term: -3.971193552017212, Hessian Trace: -3971.193359375
Iteration: 39000, Loss: 156.840087890625, Base Loss: 156.84671020507812, Regularisation Term: -0.006618153303861618, Hessian Trace: -6.618152618408203
Iteration: 39000, Loss: 162.94378662109375, Base Loss: 162.9512481689453, Regularisation Term: -0.007461516186594963, Hessian Trace: -7.4615159034729
Iteration: 40000, Loss: 164.1324920654297, Base Loss: 164.1717529296875, Regularisation Term: -0.03926171362400055, Hessian Trace: -39.261714935302734
Iteration: 40000, Loss: 162.64816284179688, Base Loss: 162.68585205078125, Regularisation Term: -0.03769325092434883, Hessian Trace: -37.6932487487793
Iteration: 41000, Loss: 158.51759338378906, Base Loss: 158.52322387695312, Regularisation Term: -0.005635223351418972, Hessian Trace: -5.635223388671875
Iteration: 41000, Loss: 163.57579040527344, Base Loss: 163.5816650390625, Regularisation Term: -0.0058671836741268635, Hessian Trace: -5.867183208465576
Iteration: 42000, Loss: 161.56101989746094, Base Loss: 161.5709991455078, Regularisation Term: -0.009985324926674366, Hessian Trace: -9.98532485961914
Iteration: 42000, Loss: 162.75772094726562, Base Loss: 162.76815795898438, Regularisation Term: -0.010435950942337513, Hessian Trace: -10.43595027923584
Iteration: 43000, Loss: 158.52133178710938, Base Loss: 160.7615966796875, Regularisation Term: -2.2402701377868652, Hessian Trace: -2240.27001953125
Iteration: 43000, Loss: 160.55250549316406, Base Loss: 163.0354766845703, Regularisation Term: -2.482970952987671, Hessian Trace: -2482.970703125
Iteration: 44000, Loss: 161.2632293701172, Base Loss: 161.27944946289062, Regularisation Term: -0.016219986602663994, Hessian Trace: -16.219985961914062
Iteration: 44000, Loss: 163.73977661132812, Base Loss: 163.75604248046875, Regularisation Term: -0.016268441453576088, Hessian Trace: -16.268442153930664
Iteration: 45000, Loss: 163.7480926513672, Base Loss: 163.7969512939453, Regularisation Term: -0.048861801624298096, Hessian Trace: -48.86179733276367
Iteration: 45000, Loss: 162.19223022460938, Base Loss: 162.24258422851562, Regularisation Term: -0.05035370960831642, Hessian Trace: -50.35370635986328
Iteration: 46000, Loss: 164.56719970703125, Base Loss: 167.64437866210938, Regularisation Term: -3.0771777629852295, Hessian Trace: -3077.177734375
Iteration: 46000, Loss: 161.38906860351562, Base Loss: 164.64047241210938, Regularisation Term: -3.251404047012329, Hessian Trace: -3251.40380859375
Iteration: 47000, Loss: 160.42784118652344, Base Loss: 165.0420379638672, Regularisation Term: -4.614198684692383, Hessian Trace: -4614.19873046875
