Iteration: 24000, Loss: 168.5161895751953, Base Loss: 168.5161895751953, Regularisation Term: -0.0, Hessian Trace: -19.1860294342041
Iteration: 24000, Loss: 160.904052734375, Base Loss: 160.904052734375, Regularisation Term: -0.0, Hessian Trace: -19.331600189208984
Iteration: 25000, Loss: 159.32781982421875, Base Loss: 159.32781982421875, Regularisation Term: -0.0, Hessian Trace: -15.418478965759277
Iteration: 25000, Loss: 161.30613708496094, Base Loss: 161.30613708496094, Regularisation Term: -0.0, Hessian Trace: -17.559572219848633
Iteration: 26000, Loss: 162.87472534179688, Base Loss: 162.87472534179688, Regularisation Term: -0.0, Hessian Trace: -23.713546752929688
Iteration: 26000, Loss: 160.6114044189453, Base Loss: 160.6114044189453, Regularisation Term: -0.0, Hessian Trace: -22.540637969970703
Iteration: 27000, Loss: 164.60369873046875, Base Loss: 164.60369873046875, Regularisation Term: -0.0, Hessian Trace: -27.35232925415039
Iteration: 27000, Loss: 161.17355346679688, Base Loss: 161.17355346679688, Regularisation Term: -0.0, Hessian Trace: -26.420215606689453
Iteration: 28000, Loss: 163.4080352783203, Base Loss: 163.4080352783203, Regularisation Term: -0.0, Hessian Trace: -20.255990982055664
Iteration: 28000, Loss: 160.5231170654297, Base Loss: 160.5231170654297, Regularisation Term: -0.0, Hessian Trace: -20.16800880432129
Iteration: 29000, Loss: 164.218505859375, Base Loss: 164.218505859375, Regularisation Term: -0.0, Hessian Trace: -20.982513427734375
Iteration: 29000, Loss: 160.7735137939453, Base Loss: 160.7735137939453, Regularisation Term: -0.0, Hessian Trace: -19.54958724975586
Iteration: 30000, Loss: 166.17153930664062, Base Loss: 166.17153930664062, Regularisation Term: -0.0, Hessian Trace: -15.812788009643555
Iteration: 30000, Loss: 160.5211944580078, Base Loss: 160.5211944580078, Regularisation Term: -0.0, Hessian Trace: -15.809964179992676
Iteration: 31000, Loss: 161.18145751953125, Base Loss: 161.18145751953125, Regularisation Term: -0.0, Hessian Trace: -22.420745849609375
Iteration: 31000, Loss: 160.8588409423828, Base Loss: 160.8588409423828, Regularisation Term: -0.0, Hessian Trace: -24.025955200195312
Iteration: 32000, Loss: 160.4356231689453, Base Loss: 160.4356231689453, Regularisation Term: -0.0, Hessian Trace: -18.2393798828125
Iteration: 32000, Loss: 160.41146850585938, Base Loss: 160.41146850585938, Regularisation Term: -0.0, Hessian Trace: -18.40451431274414
Iteration: 33000, Loss: 160.7967987060547, Base Loss: 160.7967987060547, Regularisation Term: -0.0, Hessian Trace: -15.6787691116333
Iteration: 33000, Loss: 160.0459747314453, Base Loss: 160.0459747314453, Regularisation Term: -0.0, Hessian Trace: -16.601232528686523
Iteration: 34000, Loss: 166.50062561035156, Base Loss: 166.50062561035156, Regularisation Term: -0.0, Hessian Trace: -20.63860511779785
Iteration: 34000, Loss: 160.53054809570312, Base Loss: 160.53054809570312, Regularisation Term: -0.0, Hessian Trace: -19.221845626831055
Iteration: 35000, Loss: 155.8500518798828, Base Loss: 155.8500518798828, Regularisation Term: -0.0, Hessian Trace: -16.44004249572754
Iteration: 35000, Loss: 160.48939514160156, Base Loss: 160.48939514160156, Regularisation Term: -0.0, Hessian Trace: -17.971553802490234
Iteration: 36000, Loss: 157.8386688232422, Base Loss: 157.8386688232422, Regularisation Term: -0.0, Hessian Trace: -16.444087982177734
