Iteration: 0, Loss: 432.2357482910156, Base Loss: 431.3658142089844, Regularisation Term: 0.8699271082878113, Hessian Trace: 29.494525909423828
Iteration: 1000, Loss: 258.1163024902344, Base Loss: 258.1158142089844, Regularisation Term: 0.0004795717541128397, Hessian Trace: -0.6925112009048462
Iteration: 1000, Loss: 260.5702819824219, Base Loss: 260.5702819824219, Regularisation Term: 7.710943464189768e-06, Hessian Trace: -0.08781197667121887
Iteration: 2000, Loss: 253.7082061767578, Base Loss: 253.70713806152344, Regularisation Term: 0.0010622848058119416, Hessian Trace: -1.0306719541549683
Iteration: 2000, Loss: 251.87757873535156, Base Loss: 251.87661743164062, Regularisation Term: 0.0009604791994206607, Hessian Trace: -0.980040431022644
Iteration: 3000, Loss: 246.9617462158203, Base Loss: 246.960693359375, Regularisation Term: 0.0010505059035494924, Hessian Trace: -1.0249418020248413
Iteration: 3000, Loss: 249.8740234375, Base Loss: 249.87277221679688, Regularisation Term: 0.0012519049923866987, Hessian Trace: -1.1188856363296509
Iteration: 4000, Loss: 249.49649047851562, Base Loss: 249.4954833984375, Regularisation Term: 0.0009995317086577415, Hessian Trace: -0.9997657537460327
Iteration: 4000, Loss: 251.1279754638672, Base Loss: 251.12709045410156, Regularisation Term: 0.0008874702616594732, Hessian Trace: -0.94205641746521
Iteration: 5000, Loss: 247.7974395751953, Base Loss: 247.79615783691406, Regularisation Term: 0.001282025477848947, Hessian Trace: -1.132265567779541
Iteration: 5000, Loss: 251.5283203125, Base Loss: 251.5271453857422, Regularisation Term: 0.0011776055907830596, Hessian Trace: -1.0851753950119019
Iteration: 6000, Loss: 248.2059783935547, Base Loss: 248.20433044433594, Regularisation Term: 0.0016518644988536835, Hessian Trace: -1.2852487564086914
Iteration: 6000, Loss: 250.13607788085938, Base Loss: 250.13453674316406, Regularisation Term: 0.0015346129657700658, Hessian Trace: -1.2387950420379639
Iteration: 7000, Loss: 248.8797607421875, Base Loss: 248.87879943847656, Regularisation Term: 0.0009541260660625994, Hessian Trace: -0.9767937064170837
Iteration: 7000, Loss: 248.07936096191406, Base Loss: 248.0785369873047, Regularisation Term: 0.0008288811077363789, Hessian Trace: -0.910429060459137
Iteration: 8000, Loss: 247.47518920898438, Base Loss: 247.47398376464844, Regularisation Term: 0.0012006276519969106, Hessian Trace: -1.095731496810913
Iteration: 8000, Loss: 244.3082733154297, Base Loss: 244.3072509765625, Regularisation Term: 0.0010274422820657492, Hessian Trace: -1.0136282444000244
Iteration: 9000, Loss: 250.75897216796875, Base Loss: 250.75857543945312, Regularisation Term: 0.00039269422995857894, Hessian Trace: -0.6266531348228455
Iteration: 9000, Loss: 244.02659606933594, Base Loss: 244.02577209472656, Regularisation Term: 0.0008266942459158599, Hessian Trace: -0.9092273116111755
Iteration: 10000, Loss: 249.75564575195312, Base Loss: 249.7548065185547, Regularisation Term: 0.0008452708716504276, Hessian Trace: -0.919386088848114
Iteration: 10000, Loss: 250.41348266601562, Base Loss: 250.4128875732422, Regularisation Term: 0.0005994791863486171, Hessian Trace: -0.774260401725769
Iteration: 11000, Loss: 249.53045654296875, Base Loss: 249.5299530029297, Regularisation Term: 0.0004967987188138068, Hessian Trace: -0.7048394680023193
Iteration: 11000, Loss: 248.93812561035156, Base Loss: 248.9378662109375, Regularisation Term: 0.00025785036268644035, Hessian Trace: -0.507789671421051
Iteration: 12000, Loss: 247.51995849609375, Base Loss: 247.51856994628906, Regularisation Term: 0.0013882421189919114, Hessian Trace: -1.1782368421554565
Iteration: 12000, Loss: 244.7431640625, Base Loss: 244.74143981933594, Regularisation Term: 0.0017283678753301501, Hessian Trace: -1.3146740198135376
Iteration: 13000, Loss: 247.88157653808594, Base Loss: 247.8803253173828, Regularisation Term: 0.0012578524183481932, Hessian Trace: -1.1215401887893677
Iteration: 13000, Loss: 240.35348510742188, Base Loss: 240.35299682617188, Regularisation Term: 0.0004819815803784877, Hessian Trace: -0.6942489147186279
Iteration: 14000, Loss: 241.1902313232422, Base Loss: 241.18907165527344, Regularisation Term: 0.001163283595815301, Hessian Trace: -1.0785562992095947
Iteration: 14000, Loss: 242.60934448242188, Base Loss: 242.60914611816406, Regularisation Term: 0.00019587407587096095, Hessian Trace: -0.44257664680480957
Iteration: 15000, Loss: 250.61973571777344, Base Loss: 250.61849975585938, Regularisation Term: 0.0012355074286460876, Hessian Trace: -1.111533761024475
Iteration: 15000, Loss: 246.66053771972656, Base Loss: 246.65916442871094, Regularisation Term: 0.001368990633636713, Hessian Trace: -1.1700387001037598
Iteration: 16000, Loss: 247.33755493164062, Base Loss: 247.33721923828125, Regularisation Term: 0.00033207956585101783, Hessian Trace: -0.576263427734375
Iteration: 16000, Loss: 243.5258026123047, Base Loss: 243.52549743652344, Regularisation Term: 0.0002999245480168611, Hessian Trace: -0.5476536750793457
Iteration: 17000, Loss: 245.94691467285156, Base Loss: 245.9457550048828, Regularisation Term: 0.0011522783897817135, Hessian Trace: -1.0734423398971558
Iteration: 17000, Loss: 245.96817016601562, Base Loss: 245.96624755859375, Regularisation Term: 0.0019158197101205587, Hessian Trace: -1.3841314315795898
Iteration: 18000, Loss: 247.16627502441406, Base Loss: 247.16502380371094, Regularisation Term: 0.0012470699148252606, Hessian Trace: -1.116722822189331
Iteration: 18000, Loss: 243.9077606201172, Base Loss: 243.90638732910156, Regularisation Term: 0.0013776355190202594, Hessian Trace: -1.1737271547317505
Iteration: 19000, Loss: 246.44168090820312, Base Loss: 246.44129943847656, Regularisation Term: 0.0003796794335357845, Hessian Trace: -0.6161813139915466
Iteration: 19000, Loss: 246.66693115234375, Base Loss: 246.66636657714844, Regularisation Term: 0.0005611233063973486, Hessian Trace: -0.7490816116333008
Iteration: 20000, Loss: 248.50184631347656, Base Loss: 248.50082397460938, Regularisation Term: 0.001020337687805295, Hessian Trace: -1.0101176500320435
Iteration: 20000, Loss: 243.9034881591797, Base Loss: 243.9019012451172, Regularisation Term: 0.0015870330389589071, Hessian Trace: -1.2597750425338745
Iteration: 21000, Loss: 245.1125030517578, Base Loss: 245.11178588867188, Regularisation Term: 0.0007139945519156754, Hessian Trace: -0.8449819684028625
Iteration: 21000, Loss: 246.67550659179688, Base Loss: 246.6752166748047, Regularisation Term: 0.00028469364042393863, Hessian Trace: -0.5335668921470642
Iteration: 22000, Loss: 248.36293029785156, Base Loss: 248.3620147705078, Regularisation Term: 0.0009183896472677588, Hessian Trace: -0.9583264589309692
Iteration: 22000, Loss: 245.66966247558594, Base Loss: 245.6693115234375, Regularisation Term: 0.0003470454830676317, Hessian Trace: -0.5891056656837463
Iteration: 23000, Loss: 245.1457977294922, Base Loss: 245.14376831054688, Regularisation Term: 0.002035728422924876, Hessian Trace: -1.4267895221710205
Iteration: 23000, Loss: 240.1800537109375, Base Loss: 240.17886352539062, Regularisation Term: 0.0011964560253545642, Hessian Trace: -1.093826413154602
Iteration: 24000, Loss: 251.48849487304688, Base Loss: 251.48838806152344, Regularisation Term: 0.00011087715392932296, Hessian Trace: -0.3329821825027466
Iteration: 24000, Loss: 245.67117309570312, Base Loss: 245.67105102539062, Regularisation Term: 0.00011901865946128964, Hessian Trace: -0.3449908196926117
Iteration: 25000, Loss: 240.0938262939453, Base Loss: 240.09317016601562, Regularisation Term: 0.0006527429795823991, Hessian Trace: -0.8079251050949097
Iteration: 25000, Loss: 238.7470703125, Base Loss: 238.74676513671875, Regularisation Term: 0.000301648979075253, Hessian Trace: -0.5492258071899414
Iteration: 26000, Loss: 247.8022918701172, Base Loss: 247.8022918701172, Regularisation Term: 9.812040246970355e-08, Hessian Trace: -0.009905573911964893
Iteration: 26000, Loss: 246.06365966796875, Base Loss: 246.06324768066406, Regularisation Term: 0.0004195237415842712, Hessian Trace: -0.6477065086364746
Iteration: 27000, Loss: 254.29452514648438, Base Loss: 254.2935333251953, Regularisation Term: 0.0009890241781249642, Hessian Trace: -0.9944968819618225
Iteration: 27000, Loss: 244.44764709472656, Base Loss: 244.44729614257812, Regularisation Term: 0.00035340420436114073, Hessian Trace: -0.5944780707359314
Iteration: 28000, Loss: 246.01670837402344, Base Loss: 246.01551818847656, Regularisation Term: 0.0011844307882711291, Hessian Trace: -1.0883156061172485
Iteration: 28000, Loss: 246.67147827148438, Base Loss: 246.671142578125, Regularisation Term: 0.0003414660459384322, Hessian Trace: -0.5843510031700134
Iteration: 29000, Loss: 240.54818725585938, Base Loss: 240.54815673828125, Regularisation Term: 3.042708158318419e-05, Hessian Trace: -0.17443358898162842
Iteration: 29000, Loss: 247.83726501464844, Base Loss: 247.83718872070312, Regularisation Term: 8.386278932448477e-05, Hessian Trace: -0.2895907163619995
Iteration: 30000, Loss: 247.06092834472656, Base Loss: 247.06077575683594, Regularisation Term: 0.00014915825158823282, Hessian Trace: -0.3862101137638092
Iteration: 30000, Loss: 244.22048950195312, Base Loss: 244.2204132080078, Regularisation Term: 7.084598473738879e-05, Hessian Trace: -0.26616910099983215
Iteration: 31000, Loss: 243.34666442871094, Base Loss: 243.34654235839844, Regularisation Term: 0.00011543731670826674, Hessian Trace: -0.3397606611251831
Iteration: 31000, Loss: 241.30116271972656, Base Loss: 241.30099487304688, Regularisation Term: 0.00016203174891415983, Hessian Trace: -0.4025316834449768
Iteration: 32000, Loss: 241.70553588867188, Base Loss: 241.70523071289062, Regularisation Term: 0.00031077643507160246, Hessian Trace: -0.5574732422828674
Iteration: 32000, Loss: 247.53306579589844, Base Loss: 247.53298950195312, Regularisation Term: 6.961295730434358e-05, Hessian Trace: 0.2638426721096039
Iteration: 33000, Loss: 241.69583129882812, Base Loss: 241.69583129882812, Regularisation Term: 1.4861193449178245e-06, Hessian Trace: -0.03855021670460701
Iteration: 33000, Loss: 241.6272430419922, Base Loss: 241.62684631347656, Regularisation Term: 0.0003912861575372517, Hessian Trace: -0.6255286931991577
Iteration: 34000, Loss: 247.2708282470703, Base Loss: 247.27029418945312, Regularisation Term: 0.0005324474768713117, Hessian Trace: -0.7296899557113647
Iteration: 34000, Loss: 240.37802124023438, Base Loss: 240.37692260742188, Regularisation Term: 0.0010940678184852004, Hessian Trace: -1.045976996421814
Iteration: 35000, Loss: 239.89669799804688, Base Loss: 239.8963623046875, Regularisation Term: 0.0003365936572663486, Hessian Trace: -0.5801669359207153
Iteration: 35000, Loss: 247.27354431152344, Base Loss: 247.27308654785156, Regularisation Term: 0.00045499647967517376, Hessian Trace: -0.674534261226654
Iteration: 36000, Loss: 244.14865112304688, Base Loss: 244.14833068847656, Regularisation Term: 0.00032702277530916035, Hessian Trace: -0.5718590021133423
Iteration: 36000, Loss: 247.96852111816406, Base Loss: 247.96852111816406, Regularisation Term: 1.224294408075366e-07, Hessian Trace: -0.011064783670008183
Iteration: 37000, Loss: 242.88430786132812, Base Loss: 242.88429260253906, Regularisation Term: 8.022629117476754e-06, Hessian Trace: -0.08956912904977798
Iteration: 37000, Loss: 242.597900390625, Base Loss: 242.597900390625, Regularisation Term: 9.650435117691814e-08, Hessian Trace: -0.009823663160204887
Iteration: 38000, Loss: 244.99911499023438, Base Loss: 244.99905395507812, Regularisation Term: 6.256184133235365e-05, Hessian Trace: -0.25012364983558655
Iteration: 38000, Loss: 245.69346618652344, Base Loss: 245.69346618652344, Regularisation Term: 1.022837409436761e-06, Hessian Trace: -0.031981829553842545
Iteration: 39000, Loss: 240.8788604736328, Base Loss: 240.87847900390625, Regularisation Term: 0.00037477706791833043, Hessian Trace: -0.6121903657913208
Iteration: 39000, Loss: 242.7667694091797, Base Loss: 242.76602172851562, Regularisation Term: 0.0007540954393334687, Hessian Trace: -0.8683866858482361
Iteration: 40000, Loss: 241.52098083496094, Base Loss: 241.5209503173828, Regularisation Term: 3.5798650060314685e-05, Hessian Trace: 0.18920530378818512
Iteration: 40000, Loss: 243.0788116455078, Base Loss: 243.07864379882812, Regularisation Term: 0.0001740380539558828, Hessian Trace: -0.4171786904335022
Iteration: 41000, Loss: 248.70547485351562, Base Loss: 248.70547485351562, Regularisation Term: 7.0672904257662594e-06, Hessian Trace: -0.08406717330217361
Iteration: 41000, Loss: 243.94900512695312, Base Loss: 243.94879150390625, Regularisation Term: 0.00022031410480849445, Hessian Trace: -0.4693762958049774
Iteration: 42000, Loss: 246.40731811523438, Base Loss: 246.40716552734375, Regularisation Term: 0.00015288688882719725, Hessian Trace: -0.39100751280784607
Iteration: 42000, Loss: 250.06324768066406, Base Loss: 250.062744140625, Regularisation Term: 0.0004967386485077441, Hessian Trace: -0.7047969102859497
Iteration: 43000, Loss: 237.48951721191406, Base Loss: 237.4893798828125, Regularisation Term: 0.00013952980225440115, Hessian Trace: -0.3735368847846985
Iteration: 43000, Loss: 250.800048828125, Base Loss: 250.79981994628906, Regularisation Term: 0.00023088851594366133, Hessian Trace: 0.48050859570503235
Iteration: 44000, Loss: 243.89849853515625, Base Loss: 243.89671325683594, Regularisation Term: 0.0017872067401185632, Hessian Trace: -1.3368644714355469
Iteration: 44000, Loss: 238.85385131835938, Base Loss: 238.85369873046875, Regularisation Term: 0.00015195056039374322, Hessian Trace: -0.3898083567619324
Iteration: 45000, Loss: 246.71539306640625, Base Loss: 246.71490478515625, Regularisation Term: 0.000486057426314801, Hessian Trace: -0.6971781849861145
Iteration: 45000, Loss: 245.79139709472656, Base Loss: 245.79139709472656, Regularisation Term: 3.7374818475655047e-06, Hessian Trace: -0.0611349493265152
Iteration: 46000, Loss: 241.1718292236328, Base Loss: 241.17176818847656, Regularisation Term: 5.512941788765602e-05, Hessian Trace: 0.23479653894901276
Iteration: 46000, Loss: 240.70559692382812, Base Loss: 240.70555114746094, Regularisation Term: 4.301890294300392e-05, Hessian Trace: -0.20740997791290283
Iteration: 47000, Loss: 240.02687072753906, Base Loss: 240.026611328125, Regularisation Term: 0.0002615278644952923, Hessian Trace: -0.5113979578018188
Iteration: 47000, Loss: 247.30303955078125, Base Loss: 247.30287170410156, Regularisation Term: 0.00016927580873016268, Hessian Trace: -0.4114314019680023
Iteration: 48000, Loss: 240.5450439453125, Base Loss: 240.5442352294922, Regularisation Term: 0.0008119487902149558, Hessian Trace: -0.9010820388793945
Iteration: 48000, Loss: 244.84381103515625, Base Loss: 244.84336853027344, Regularisation Term: 0.00044974792399443686, Hessian Trace: -0.6706324815750122
Iteration: 49000, Loss: 239.0432586669922, Base Loss: 239.0429229736328, Regularisation Term: 0.0003321621334180236, Hessian Trace: -0.576335072517395
Iteration: 49000, Loss: 243.99966430664062, Base Loss: 243.99954223632812, Regularisation Term: 0.00011533302313182503, Hessian Trace: -0.3396071493625641
Iteration: 50000, Loss: 237.4741973876953, Base Loss: 237.47406005859375, Regularisation Term: 0.0001367236691294238, Hessian Trace: -0.3697616457939148
Iteration: 50000, Loss: 245.26687622070312, Base Loss: 245.2667236328125, Regularisation Term: 0.0001500614162068814, Hessian Trace: -0.38737761974334717
Iteration: 51000, Loss: 241.6955108642578, Base Loss: 241.69522094726562, Regularisation Term: 0.00029124721186235547, Hessian Trace: -0.5396732091903687
Iteration: 51000, Loss: 248.5033416748047, Base Loss: 248.5033416748047, Regularisation Term: 4.862357400270412e-06, Hessian Trace: 0.06973060965538025
Iteration: 52000, Loss: 242.67066955566406, Base Loss: 242.67031860351562, Regularisation Term: 0.00035170037881471217, Hessian Trace: 0.5930432677268982
Iteration: 52000, Loss: 248.3517303466797, Base Loss: 248.3502197265625, Regularisation Term: 0.001509993919171393, Hessian Trace: 1.2288180589675903
Iteration: 53000, Loss: 240.96116638183594, Base Loss: 240.96017456054688, Regularisation Term: 0.0009919956792145967, Hessian Trace: -0.9959897398948669
Iteration: 53000, Loss: 246.07803344726562, Base Loss: 246.0767364501953, Regularisation Term: 0.0012946304632350802, Hessian Trace: -1.1378183364868164
Iteration: 54000, Loss: 239.00013732910156, Base Loss: 238.9994659423828, Regularisation Term: 0.000664446153678, Hessian Trace: 0.815135657787323
Iteration: 54000, Loss: 247.35400390625, Base Loss: 247.35394287109375, Regularisation Term: 5.97542202740442e-05, Hessian Trace: 0.2444467693567276
Iteration: 55000, Loss: 239.23074340820312, Base Loss: 239.2293243408203, Regularisation Term: 0.001419940497726202, Hessian Trace: -1.1916124820709229
Iteration: 55000, Loss: 252.3115997314453, Base Loss: 252.31153869628906, Regularisation Term: 6.225510878721252e-05, Hessian Trace: -0.24950973689556122
Iteration: 56000, Loss: 236.53872680664062, Base Loss: 236.53872680664062, Regularisation Term: 1.4410549908916437e-07, Hessian Trace: -0.012004394084215164
Iteration: 56000, Loss: 246.58595275878906, Base Loss: 246.58584594726562, Regularisation Term: 0.00011091143824160099, Hessian Trace: 0.3330336809158325
Iteration: 57000, Loss: 243.79483032226562, Base Loss: 243.79469299316406, Regularisation Term: 0.0001322424941463396, Hessian Trace: -0.3636515736579895
Iteration: 57000, Loss: 243.95516967773438, Base Loss: 243.95516967773438, Regularisation Term: 1.008660532875183e-07, Hessian Trace: -0.010043209418654442
Iteration: 58000, Loss: 248.7957000732422, Base Loss: 248.7957000732422, Regularisation Term: 7.561051916127326e-06, Hessian Trace: 0.08695430308580399
Iteration: 58000, Loss: 244.88595581054688, Base Loss: 244.8859405517578, Regularisation Term: 1.3185919669922441e-05, Hessian Trace: 0.11482996493577957
Iteration: 59000, Loss: 240.5357208251953, Base Loss: 240.5356903076172, Regularisation Term: 2.759008748398628e-05, Hessian Trace: -0.16610263288021088
Iteration: 59000, Loss: 248.20469665527344, Base Loss: 248.20465087890625, Regularisation Term: 3.896322232321836e-05, Hessian Trace: -0.19739103317260742
Iteration: 60000, Loss: 240.0152130126953, Base Loss: 240.01498413085938, Regularisation Term: 0.00022304122103378177, Hessian Trace: -0.4722723662853241
Iteration: 60000, Loss: 244.9727783203125, Base Loss: 244.97276306152344, Regularisation Term: 2.068539288302418e-05, Hessian Trace: -0.14382417500019073
